bin,bist,ist,sein
hast,habe,hab,haben
heisst,heisse,heisst
weisst,weiss,wissen
musst,muss,muessen
laesst,lasse,lassen
traegst,trage,tragen
stirbst,sterbe,sterben,stirbt
nimmst,nehme,nehmen,nimmt
haeltst,halte,halten,haelt
willst,will,wollen
kannst,kann,koennen
kennst,kenne,kennen
mag,magst,moegen
sprichst,spreche,sprechen,spricht
wirst,werde,werden
schlaefst,schlafe,schlafen
laeufst,laufe,laufen
isst,esse,essen

ich,du
mir,dir
mich,dich
mein,dein
mein_name,dein_name
